"gene","min_ari","max_ari","ave_ari","moved:total reads","average_moved","total_reads","total_edpl","branch_length"
"COG0013",0.786629581318247,1,0.807966623186422,0.318290752882659,1407.8,9160,495.413,229.496
"COG0014",1,1,1,0.215676141257537,500.8,2359,63.7335,211.3525
"COG0021",0.356234078594017,1,0.835828421947835,0.230091348737238,428.2,1870,39.229,219.618
"COG0028",0.931359970317825,1,0.989671839851862,0.299970149253731,2009.8,6982,215.745,257.3675
"COG0034",0.965301619203641,1,0.972241295362913,0.35266323024055,821,2435,109.985,210.7371
"COG0036",1,1,1,0.274346234309623,1049.1,3940,187.577,248.8333
"COG0037",1,1,1,0.281795433218642,900.9,3405,741.511,0
"COG0041",0.830337799120082,1,0.983033779912008,0.337389033942559,646.1,1965,40.6762,156.1823
"COG0053",0.236559369459812,0.963561474140601,0.889925504816718,0.210179640718563,702,3380,183.11,503.337
"COG0055",1,1,1,0.266583674195269,1499,5648,96.9727,0
"COG0057",1,1,1,0.255746485159563,1146,4530,134.516,0
"COG0059",1,1,1,0.126855018587361,853.1,6833,55.2975,161.0407
"COG0081",1,1,1,0.278046594982079,620.6,2251,39.8269,217.2721
"COG0084",1,1,1,0.301601642710472,734.4,2598,177.286,405.2491
"COG0098",0.550853243728819,1,0.865255973118646,0.176972184222526,388.1,2228,50.0965,243.0706
"COG0104",0.964897214588456,1,0.985963223322075,0.418272775144813,794.3,1980,68.3111,183.7064
"COG0107",0.910384596996996,1,0.973115379099099,0.1891240446796,321.7,1721,26.2022,153.9099
"COG0111",0.67229091677381,1,0.934458183354762,0.268136390358613,912.2,3522,148.036,388.7532
"COG0124",0.805358085794941,1,0.943840654598924,0.510200129115558,1580.6,3418,366.12,0
"COG0129",1,1,1,0.223016496465043,283.9,1282,23.9506,171.071
"COG0130",1,1,1,0.327769625825385,893.5,2972,119.108,383.8945
"COG0131",0.866369978349771,1,0.933184989174886,0.20734693877551,558.8,2778,53.8113,217.2446
"COG0138",1,1,1,0.322741147741148,1057.3,3369,119.136,177.5512
"COG0141",0.765739269398147,1,0.966004677524755,0.24875745526839,1001,4110,53.7269,254.4749
"COG0143",1,1,1,0.278384201077199,1550.6,5610,247.02,0
"COG0153",1,1,1,0.257835080759422,909.9,3696,112.742,201.4039
"COG0157",1,1,1,0.306649395509499,355.1,1284,20.6575,208.6562
"COG0164",0.417235970495586,1,0.8312823492132,0.251817716333845,491.8,2186,128.53,541.8144
"COG0165",0.833545118033796,1,0.960852002556741,0.224938875305623,276,1243,33.3798,252.1309
"COG0166",0.951723602580226,1,0.98068944103209,0.255861627162076,798.8,3142,119.726,497.3315
"COG0178",0.84581238537946,1,0.97907582230773,0.322414971799692,3772.9,11945,1192.61,208.9898
"COG0187",1,1,1,0.287215650591447,1893.9,6716,243.166,0
"COG0188",1,1,1,0.252416321925536,2684.7,10755,238.371,0
"COG0190",0.0312385625616832,0.79103213535077,0.319234316877511,0.368692786525082,1006.9,2863,269.942,276.0988
"COG0192",0.122361714272362,1,0.912236171427236,0.32355623100304,851.6,2677,120.447,144.7616
"COG0195",0.986560358704002,1,0.9973120717408,0.298842592592593,1549.2,5287,140,215.2199
"COG0196",0.724334212465922,1,0.972433421246592,0.166080240291783,774.1,4898,204.185,497.7896
"COG0206",1,1,1,0.214711769415532,1072.7,5080,115.268,207.4528
"COG0215",0.978324500293522,1,0.997832450029352,0.205116894574327,465,2461,59.6957,277.0947
"COG0217",1,1,1,0.225074096028453,379.7,1745,35.1082,186.7327
"COG0223",0.643440402745559,1,0.839322044682959,0.242743902439024,398.1,1661,66.8673,0
"COG0224",1,1,1,0.218418418418418,436.4,2043,54.7234,239.545
"COG0248",0.198635407244106,1,0.744742524943993,0.197496122313317,891.3,4640,190.38,455.6585
"COG0250",0.947696677964896,1,0.984309003389469,0.295566666666667,886.7,3133,83.4312,0
"COG0253",1,1,1,0.314520688768954,1223.8,4163,217.241,231.2312
"COG0263",1,1,1,0.196392030156166,364.7,1922,52.6945,188.2593
"COG0264",0.823065933661084,1,0.904459222891212,0.239447731755424,728.4,3067,164.566,449.9265
"COG0272",0.103421747794788,1,0.881300184895021,0.232606855691917,1099.3,4970,130.276,324.6076
"COG0275",1,1,1,0.301031411157993,642.1,2205,58.4272,0
"COG0282",0.805176008686136,1,0.896342200617888,0.351115329852871,739.8,2138,155.052,242.4031
"COG0283",0.274580294918361,1,0.843680267651128,0.24642719196601,638,2656,161.209,301.1403
"COG0289",1,1,1,0.224444444444444,282.8,1321,20.957,317.1614
"COG0305",0.570554213188918,1,0.957055421318892,0.263671607753706,1156.2,4703,291.19,0
"COG0313",1,1,1,0.327222222222222,824.6,2622,71.2825,352.6246
"COG0317",1,1,1,0.331775438596491,2363.9,7381,260.235,219.5537
"COG0322",0.058432406810417,1,0.905843240681042,0.26484295845998,1307,5102,167.545,300.9304
"COG0324",0.950555739865629,1,0.985166721959689,0.316416978776529,506.9,1662,119.599,325.7584
"COG0329",1,1,1,0.193976880957209,956.5,5100,175.549,428.5453
"COG0336",0.635596154225219,1,0.744917307957653,0.213668466971334,514.3,2552,38.1086,241.8602
"COG0352",1,1,1,0.189954337899543,624,3354,235.715,779.1281
"COG0358",0.633214739155976,1,0.932104371028526,0.285115159848745,1658.8,6058,370.845,590.1567
"COG0370",1,1,1,0.312689578405454,2247.3,7359,382.976,237.5001
"COG0379",1,1,1,0.216907051282051,541.4,2619,38.8315,173.8177
"COG0395",1,1,1,0.238378800848562,6405,27791,2962.03,332.6705
"COG0396",1,1,1,0.333047735618115,1088.4,3391,61.313,146.068
"COG0410",1,1,1,0.267775831873905,917.4,3595,230.859,175.5698
"COG0422",0.9273852258373,1,0.985702031575215,0.199941871730285,1031.9,5188,68.3661,157.4426
"COG0423",0.977208122986756,1,0.997720812298676,0.231486146095718,1286.6,5601,157.386,245.2443
"COG0436",1,1,1,0.294206008583691,822.6,2891,473.133,435.4155
"COG0438",0.311297418668112,1,0.668754153629288,0.413542483660131,1581.8,4132,1881.03,657.4351
"COG0444",0.0315419941377107,1,0.903154199413771,0.212960071380772,1909.4,9321,627.408,261.8438
"COG0460",1,1,1,0.278030859662013,1513.6,5692,211.287,336.573
"COG0463",0.265414183668629,1,0.632707091834314,0.423196471700095,4030.1,10447,5074.18,958.1138
"COG0465",1,1,1,0.243895747599451,1955.8,8107,283.959,0
"COG0488",1,1,1,0.24705057410816,5637.2,23473,921.166,336.8773
"COG0489",0.964295464887001,1,0.9892886394661,0.356313775510204,1117.4,3226,126.62,0
"COG0492",0.384599224289882,1,0.852419403658875,0.287089108910891,724.9,2969,225.259,0
"COG0497",0.15400480273453,1,0.746201440820359,0.218238691049086,453.5,2094,92.5305,388.7976
"COG0505",1,1,1,0.299564902102973,413.1,1417,29.0677,190.396
"COG0514",0.646591208348135,1,0.964659120834813,0.290844332704798,1388.2,4892,297.166,278.3711
"COG0516",0.0309025416545231,1,0.127812287489071,0.21588785046729,831.6,3927,55.3846,270.8752
"COG0520",1,1,1,0.304823747680891,1478.7,5100,232.183,400.0132
"COG0524",0.775459263672518,0.964281314738758,0.898637022464738,0.398187311178248,2240.6,6510,1211.06,468.9437
"COG0540",0.94835610367504,1,0.994835610367504,0.23593085860017,832.6,3617,75.3544,211.0827
"COG0541",1,1,1,0.250864197530864,304.8,1279,30.8771,206.2339
"COG0552",0.93226181004589,1,0.975566002094523,0.329863301787592,1568.5,4989,126.919,264.3338
"COG0556",0.963196439410687,1,0.988958931823206,0.19918228958915,998.7,5025,88.5629,157.5636
"COG0561",-0.0373704141161831,1,0.551102845078311,0.317127564674398,3555,12593,1844.2,529.7053
"COG0564",0.361900782184904,1,0.680934556693921,0.283791606367583,1568.8,5953,687.013,518.58
"COG0566",0.193550153307052,1,0.919355015330705,0.283171819720043,1840.9,7300,379.259,0
"COG0569",0.462060533864167,1,0.601834652947639,0.282154996600952,1660.2,6102,803.741,361.3274
"COG0571",0.725732819012005,1,0.918790252423787,0.173146708138932,334,2006,64.6528,401.8627
"COG0577",1,1,1,0.335725728933034,3143.4,10924,2440,538.2818
"COG0586",0.743284442746649,1,0.949422128370905,0.315648066135223,1069.1,3611,91.3923,414.8436
"COG0593",0.589116315119114,1,0.6767421448418,0.198238880108377,878,4475,124.315,256.1894
"COG0595",0.84387531036364,1,0.937550124145456,0.30515393386545,1338.1,4704,179.533,171.3006
"COG0601",1,1,1,0.136646661665416,364.3,2724,144.756,437.995
"COG0606",0.152234341591237,1,0.831821341483489,0.131303090547623,726.5,5576,158.575,295.3236
"COG0609",0.0938002499591394,1,0.703571729414683,0.263421099134123,1490.7,5758,340.362,403.8967
"COG0610",1,1,1,0.284476731483504,2604.1,9372,442.248,313.4172
"COG0613",0.964265778258211,1,0.989279733477463,0.242763157894737,701.1,3054,433.327,443.2727
"COG0629",0.758229553513074,1,0.910540709888542,0.217186088527552,961.7,4507,419.603,1293.74
"COG0653",1,1,1,0.291800757217227,2466.3,8642,282.386,204.1058
"COG0656",0.384599224289882,1,0.569219457002918,0.277399958532034,1337.9,5130,291.406,301.7626
"COG0658",0.965540167588154,1,0.975878117311708,0.241726296958855,540.5,2357,358.027,937.1302
"COG0664",0.384599224289882,1,0.856023058393053,0.265895953757225,782,3121,277.833,533.3725
"COG0667",1,1,1,0.179241877256318,1092.3,6514,234.972,456.6556
"COG0668",1,1,1,0.230913877397518,614,2755,115.092,549.4874
"COG0669",0.0807620815458589,1,0.816970801548241,0.206472684085511,347.7,1698,54.7669,264.3154
"COG0675",0.848285497728217,1,0.924142748864109,0.313786764705882,2219.1,7640,662.806,275.967
"COG0679",0.143618983124633,1,0.571809491562317,0.329127212844792,1598.9,5326,382.212,500.0801
"COG0706",0.488500691215283,1,0.948850069121528,0.296342239185751,931.7,3674,326.853,605.6253
"COG0707",1,1,1,0.309819260857837,1148.5,3959,201.958,430.4366
"COG0730",0.432299581312187,1,0.676189287862628,0.34671186440678,1022.8,3384,472.939,559.3322
"COG0735",0.784523182855034,1,0.978452318285503,0.269907578558226,730.1,2889,267.561,333.7562
"COG0737",1,1,1,0.324664830119376,1767.8,6071,619.588,421.1385
