"gene","min_ari","max_ari","ave_ari","moved:total reads","average_moved","total_reads","total_edpl","branch_length","pairwise_percent_identity","ave_phylo_div","Convex Phylum-Taxa in Tree","Total Taxa in Tree","Phylo Diversity","Abundance Weighted Phylo Diversity"
"COG0013",0.786629581318247,1,0.807966623186422,0.318290752882659,1407.8,9160,495.413,229.496,54.8,5.48129,27,1591,54.6128,1.57344
"COG0014",1,1,1,0.215676141257537,500.8,2359,63.7335,211.3525,52.2,3.54354,22,1323,37.3527,1.49048
"COG0021",0.356234078594017,1,0.835828421947835,0.230091348737238,428.2,1870,39.229,219.618,52.3,3.25348,20,1290,30.7631,1.85121
"COG0028",0.931359970317825,1,0.989671839851862,0.299970149253731,2009.8,6982,215.745,257.3675,50.7,6.20754,21,1487,53.9148,1.39644
"COG0034",0.965301619203641,1,0.972241295362913,0.35266323024055,821,2435,109.985,210.7371,49,5.2842,16,1422,42.3868,2.60253
"COG0036",1,1,1,0.274346234309623,1049.1,3940,187.577,248.8333,55.9,7.40286,16,1453,70.0764,2.06126
"COG0037",1,1,1,0.281795433218642,900.9,3405,741.511,0,21,16.6798,12,2076,234.43,5.29594
"COG0041",0.830337799120082,1,0.983033779912008,0.337389033942559,646.1,1965,40.6762,156.1823,62,2.88493,11,1252,26.796,1.37922
"COG0053",0.236559369459812,0.963561474140601,0.889925504816718,0.210179640718563,702,3380,183.11,503.337,27.5,9.13062,18,1478,76.477,2.81545
"COG0055",1,1,1,0.266583674195269,1499,5648,96.9727,0,66.1,3.9844,24,1512,27.1702,1.40214
"COG0057",1,1,1,0.255746485159563,1146,4530,134.516,0,43.3,6.80949,14,1761,51.543,2.6218
"COG0059",1,1,1,0.126855018587361,853.1,6833,55.2975,161.0407,50.4,5.13636,15,1262,26.4727,1.42665
"COG0081",1,1,1,0.278046594982079,620.6,2251,39.8269,217.2721,48.2,2.74335,37,1534,22.9319,1.25997
"COG0084",1,1,1,0.301601642710472,734.4,2598,177.286,405.2491,45.3,6.30996,20,1746,72.8629,3.33434
"COG0098",0.550853243728819,1,0.865255973118646,0.176972184222526,388.1,2228,50.0965,243.0706,47.2,4.05807,31,1374,30.9094,1.89685
"COG0104",0.964897214588456,1,0.985963223322075,0.418272775144813,794.3,1980,68.3111,183.7064,57.2,3.16541,23,1312,26.2324,1.62231
"COG0107",0.910384596996996,1,0.973115379099099,0.1891240446796,321.7,1721,26.2022,153.9099,60.9,2.89036,19,1248,25.619,1.29467
